2012-04-29 01:18:11 Notice: Notice (8): Undefined property: PostsController::$request in [/var/www/Desarroll/controllers/posts_controller.php, line 148]
2012-04-29 01:22:03 Notice: Notice (8): Undefined property: PostsController::$request in [/var/www/Desarroll/controllers/posts_controller.php, line 148]
2012-04-29 01:46:53 Notice: Notice (8): Undefined property: PostsController::$request in [/var/www/Desarroll/controllers/posts_controller.php, line 147]
2012-04-29 01:46:53 Notice: Notice (8): Trying to get property of non-object in [/var/www/Desarroll/controllers/posts_controller.php, line 147]
2012-04-29 01:46:53 Notice: Notice (8): Undefined property: PostsController::$request in [/var/www/Desarroll/controllers/posts_controller.php, line 148]
2012-05-01 07:41:27 Notice: Notice (8): Undefined index: nom in [/var/www/Desarroll/controllers/posts_controller.php, line 31]
2012-05-01 07:44:23 Notice: Notice (8): Undefined offset: 0 in [/var/www/Desarroll/controllers/posts_controller.php, line 31]
2012-05-01 07:44:23 Notice: Notice (8): Undefined offset: 0 in [/var/www/Desarroll/controllers/posts_controller.php, line 31]
2012-05-01 07:44:41 Notice: Notice (8): Undefined offset: 2 in [/var/www/Desarroll/controllers/posts_controller.php, line 31]
2012-05-01 07:44:41 Notice: Notice (8): Undefined offset: 2 in [/var/www/Desarroll/controllers/posts_controller.php, line 31]
2012-05-01 07:49:35 Notice: Notice (8): Undefined index: nom in [/var/www/Desarroll/controllers/posts_controller.php, line 31]
2012-05-01 07:49:35 Notice: Notice (8): Undefined index: nom in [/var/www/Desarroll/controllers/posts_controller.php, line 31]
2012-05-01 07:53:30 Notice: Notice (8): Undefined offset: 0 in [/var/www/Desarroll/controllers/posts_controller.php, line 31]
2012-05-01 07:53:30 Notice: Notice (8): Undefined offset: 0 in [/var/www/Desarroll/controllers/posts_controller.php, line 31]
2012-05-01 07:53:41 Notice: Notice (8): Undefined offset: 1 in [/var/www/Desarroll/controllers/posts_controller.php, line 31]
2012-05-01 07:53:41 Notice: Notice (8): Undefined offset: 1 in [/var/www/Desarroll/controllers/posts_controller.php, line 31]
2012-05-01 07:58:13 Notice: Notice (8): Undefined variable: _POSTs in [/var/www/Desarroll/controllers/posts_controller.php, line 31]
2012-05-01 07:58:13 Notice: Notice (8): Undefined variable: _POSTs in [/var/www/Desarroll/controllers/posts_controller.php, line 31]
2012-05-01 07:59:11 Notice: Notice (8): Undefined variable: _POSTs in [/var/www/Desarroll/controllers/posts_controller.php, line 32]
2012-05-01 07:59:11 Notice: Notice (8): Undefined variable: _POSTs in [/var/www/Desarroll/controllers/posts_controller.php, line 32]
2012-05-01 08:04:29 Notice: Notice (8): Undefined index: nom in [/var/www/Desarroll/controllers/posts_controller.php, line 32]
2012-05-01 08:04:29 Notice: Notice (8): Undefined index: nom in [/var/www/Desarroll/controllers/posts_controller.php, line 32]
2012-05-01 08:26:26 Notice: Notice (8): Undefined index: nom in [/var/www/Desarroll/controllers/posts_controller.php, line 32]
2012-05-01 08:26:26 Notice: Notice (8): Undefined index: nom in [/var/www/Desarroll/controllers/posts_controller.php, line 32]
2012-05-01 08:26:41 Notice: Notice (8): Undefined index: nom in [/var/www/Desarroll/controllers/posts_controller.php, line 32]
2012-05-01 08:26:41 Notice: Notice (8): Undefined index: nom in [/var/www/Desarroll/controllers/posts_controller.php, line 32]
2012-05-01 08:27:14 Notice: Notice (8): Undefined index: nom in [/var/www/Desarroll/controllers/posts_controller.php, line 32]
2012-05-01 08:27:14 Notice: Notice (8): Undefined index: nom in [/var/www/Desarroll/controllers/posts_controller.php, line 32]
2012-05-01 08:38:21 Notice: Notice (8): Undefined variable: reader in [/var/www/Desarroll/controllers/posts_controller.php, line 33]
2012-05-01 08:38:21 Notice: Notice (8): Undefined variable: reader in [/var/www/Desarroll/controllers/posts_controller.php, line 33]
2012-05-01 08:57:31 Notice: Notice (8): Undefined property: PostsController::$request in [/var/www/Desarroll/controllers/posts_controller.php, line 31]
2012-05-01 08:57:31 Notice: Notice (8): Undefined property: PostsController::$request in [/var/www/Desarroll/controllers/posts_controller.php, line 31]
2012-05-01 08:59:45 Notice: Notice (8): Undefined property: PostsController::$request in [/var/www/Desarroll/controllers/posts_controller.php, line 32]
2012-05-01 08:59:45 Notice: Notice (8): Undefined property: PostsController::$request in [/var/www/Desarroll/controllers/posts_controller.php, line 32]
2012-05-01 09:03:51 Notice: Notice (8): Undefined property: PostsController::$request in [/var/www/Desarroll/controllers/posts_controller.php, line 32]
2012-05-01 09:03:51 Notice: Notice (8): Undefined property: PostsController::$request in [/var/www/Desarroll/controllers/posts_controller.php, line 32]
2012-05-01 09:09:34 Notice: Notice (8): Undefined property: PostsController::$request in [/var/www/Desarroll/controllers/posts_controller.php, line 32]
2012-05-01 09:09:34 Notice: Notice (8): Trying to get property of non-object in [/var/www/Desarroll/controllers/posts_controller.php, line 32]
2012-05-01 09:09:34 Notice: Notice (8): Undefined property: PostsController::$request in [/var/www/Desarroll/controllers/posts_controller.php, line 32]
2012-05-01 09:09:34 Notice: Notice (8): Trying to get property of non-object in [/var/www/Desarroll/controllers/posts_controller.php, line 32]
2012-05-01 09:10:42 Notice: Notice (8): Undefined property: PostsController::$request in [/var/www/Desarroll/controllers/posts_controller.php, line 32]
2012-05-01 09:10:42 Notice: Notice (8): Trying to get property of non-object in [/var/www/Desarroll/controllers/posts_controller.php, line 32]
2012-05-01 09:10:42 Notice: Notice (8): Undefined property: PostsController::$request in [/var/www/Desarroll/controllers/posts_controller.php, line 32]
2012-05-01 09:10:42 Notice: Notice (8): Trying to get property of non-object in [/var/www/Desarroll/controllers/posts_controller.php, line 32]
2012-05-01 09:15:08 Notice: Notice (8): Undefined property: PostsController::$request in [/var/www/Desarroll/controllers/posts_controller.php, line 31]
2012-05-01 09:15:08 Notice: Notice (8): Undefined property: PostsController::$request in [/var/www/Desarroll/controllers/posts_controller.php, line 31]
2012-05-01 09:17:21 Notice: Notice (8): Undefined property: PostsController::$request in [/var/www/Desarroll/controllers/posts_controller.php, line 31]
2012-05-01 09:17:21 Notice: Notice (8): Undefined property: PostsController::$request in [/var/www/Desarroll/controllers/posts_controller.php, line 31]
2012-05-01 09:25:50 Notice: Notice (8): Undefined property: PostsController::$request in [/var/www/Desarroll/controllers/posts_controller.php, line 33]
2012-05-01 09:25:50 Notice: Notice (8): Trying to get property of non-object in [/var/www/Desarroll/controllers/posts_controller.php, line 33]
2012-05-01 09:25:50 Notice: Notice (8): Undefined property: PostsController::$RequestHandler in [/var/www/Desarroll/controllers/posts_controller.php, line 38]
2012-05-01 09:25:50 Notice: Notice (8): Undefined property: PostsController::$request in [/var/www/Desarroll/controllers/posts_controller.php, line 33]
2012-05-01 09:25:50 Notice: Notice (8): Trying to get property of non-object in [/var/www/Desarroll/controllers/posts_controller.php, line 33]
2012-05-01 09:25:50 Notice: Notice (8): Undefined property: PostsController::$RequestHandler in [/var/www/Desarroll/controllers/posts_controller.php, line 38]
2012-05-01 10:23:28 Notice: Notice (8): Undefined property: PostsController::$request in [/var/www/Desarroll/controllers/posts_controller.php, line 34]
2012-05-01 10:23:28 Notice: Notice (8): Undefined property: PostsController::$request in [/var/www/Desarroll/controllers/posts_controller.php, line 34]
2012-05-01 11:15:38 Notice: Notice (8): Undefined index: input in [/var/www/Desarroll/controllers/posts_controller.php, line 864]
2012-05-01 11:15:38 Notice: Notice (8): Undefined index: input in [/var/www/Desarroll/controllers/posts_controller.php, line 864]
2012-05-01 11:15:53 Notice: Notice (8): Undefined index: input in [/var/www/Desarroll/controllers/posts_controller.php, line 864]
2012-05-01 11:15:53 Notice: Notice (8): Undefined index: input in [/var/www/Desarroll/controllers/posts_controller.php, line 864]
2012-05-01 11:17:16 Notice: Notice (8): Undefined index: input in [/var/www/Desarroll/controllers/posts_controller.php, line 845]
